"shapeid","x","y"
"3","103.7319277","1.3227005"
"3","103.731991","1.3230121"
"3","103.732201","1.3231022"
"3","103.7323182","1.3235851"
"3","103.7323649","1.3237259"
"3","103.7323574","1.3239227"
"3","103.7324395","1.3240472"
"3","103.7325527","1.3242721"
"3","103.7326186","1.3244424"
"3","103.7328002","1.3245194"
"3","103.7329282","1.3246483"
"3","103.7331433","1.3251307"
"3","103.7331878","1.3252745"
"3","103.733209","1.3254246"
"3","103.7332342","1.3255496"
"3","103.7331261","1.3258336"
"3","103.733003","1.3259129"
"3","103.7329153","1.3259746"
"3","103.732989","1.3260307"
"3","103.7329869","1.326128"
"3","103.7330631","1.3262186"
"3","103.7333855","1.3262846"
"3","103.7334999","1.3262032"
"3","103.7335023","1.3260887"
"3","103.7337299","1.3260843"
"3","103.7337846","1.3261744"
"3","103.7338044","1.3262797"
"3","103.7340289","1.3257252"
"3","103.7340291","1.3254704"
"3","103.7337765","1.324493"
"3","103.7336118","1.3242624"
"3","103.7335679","1.3239549"
"3","103.7331945","1.322692"
"3","103.7332494","1.3224284"
"3","103.7331396","1.3222087"
"3","103.7330517","1.3212972"
"3","103.7328431","1.3209787"
"3","103.7327662","1.3205285"
"3","103.7327772","1.3199135"
"3","103.7323818","1.3196499"
"3","103.73225","1.318991"
"3","103.7318107","1.3183979"
"3","103.7314154","1.3182771"
"3","103.7312507","1.317739"
"3","103.7309761","1.3174754"
"3","103.7302732","1.3160258"
"3","103.7299987","1.3157293"
"3","103.7298559","1.3153449"
"3","103.7294098","1.3147533"
"3","103.7289776","1.314278"
"3","103.7286462","1.313817"
"3","103.7280316","1.3128252"
"3","103.7278629","1.3127957"
"3","103.7276996","1.3123734"
"3","103.7277527","1.3123203"
"4","103.7334643","1.3360648"
"4","103.7336737","1.3356916"
"4","103.733316","1.335337"
"4","103.7330028","1.3357224"
"4","103.7334643","1.3360648"
"5","103.733316","1.335337"
"5","103.7332716","1.335185"
"5","103.7336285","1.3344712"
"5","103.7336732","1.3341087"
"5","103.7337512","1.3335844"
"5","103.7337331","1.3331547"
"5","103.7332416","1.3329873"
"5","103.7328148","1.3333331"
"5","103.7323799","1.3337379"
"5","103.7322494","1.3338701"
"5","103.7316463","1.3342535"
"5","103.7312877","1.3344792"
"5","103.7310803","1.3345337"
"5","103.7308664","1.3346448"
"5","103.7306827","1.334574"
"5","103.7303408","1.3345763"
"5","103.7302567","1.3346103"
"5","103.7300595","1.3345159"
"5","103.7298223","1.3344593"
"5","103.7297263","1.3343627"
"5","103.7296524","1.3343476"
"5","103.7294935","1.3343654"
"5","103.7290703","1.334704"
"5","103.728844","1.3346857"
"5","103.7288356","1.3334672"
"5","103.7287761","1.3330739"
"5","103.7284868","1.3325124"
"5","103.7280678","1.3316135"
"5","103.7277508","1.3302911"
"5","103.7277892","1.3292901"
"5","103.7276029","1.3292704"
"5","103.7277996","1.3290204"
"5","103.7284047","1.3285702"
"5","103.7287412","1.3284477"
"5","103.7297638","1.3283909"
"5","103.7301777","1.3285167"
"5","103.730625","1.3285703"
"5","103.7311738","1.3286753"
"5","103.7315164","1.3286857"
"5","103.7317257","1.3285698"
"5","103.7320221","1.3280158"
"5","103.7320916","1.3280211"
"5","103.7321723","1.3278053"
"5","103.7323019","1.327887"
"5","103.7324132","1.3276559"
"5","103.7324126","1.327536"
"5","103.7324738","1.3274682"
"5","103.7324719","1.3272542"
"5","103.7332009","1.3274325"
"5","103.7331315","1.3275417"
"5","103.7331223","1.3276558"
"5","103.7331139","1.3277721"
"5","103.7328511","1.328489"
"5","103.7329972","1.3286838"
"5","103.73299","1.3287534"
"5","103.7325321","1.3291982"
"5","103.7323908","1.3290262"
"5","103.7322545","1.3290535"
"5","103.7321648","1.329147"
"5","103.7321921","1.329295"
"5","103.7320519","1.3293769"
"5","103.73197","1.3293301"
"5","103.7318376","1.3293886"
"5","103.7318103","1.3294821"
"5","103.7316895","1.3294587"
"5","103.7314869","1.3295054"
"5","103.7314207","1.3294431"
"5","103.7312375","1.3294704"
"5","103.731144","1.32956"
"5","103.7311713","1.3295989"
"5","103.7310544","1.3295717"
"5","103.730939","1.3296086"
"5","103.730828","1.3296185"
"5","103.7306375","1.3296457"
"5","103.7305012","1.3295522"
"5","103.7303336","1.3294587"
"5","103.7302245","1.3294431"
"5","103.730131","1.3294899"
"5","103.7300453","1.3294041"
"5","103.7299518","1.3294119"
"5","103.7298856","1.3293496"
"5","103.7293206","1.329295"
"5","103.728734","1.3293517"
"5","103.7285175","1.3295616"
"5","103.7284285","1.3300537"
"5","103.7284432","1.3304977"
"5","103.7286297","1.3307981"
"5","103.7287541","1.3310399"
"5","103.7289145","1.3312435"
"5","103.7290038","1.3314054"
"5","103.7291041","1.3315586"
"5","103.7290422","1.3317442"
"5","103.7290979","1.3319855"
"5","103.7293392","1.3322825"
"5","103.7295991","1.3329694"
"5","103.7298466","1.3333345"
"5","103.7300323","1.3335758"
"5","103.7303422","1.3338611"
"5","103.730548","1.3339159"
"5","103.7306989","1.3337101"
"5","103.7307904","1.3336918"
"5","103.7309868","1.333463"
"5","103.7310876","1.3336827"
"5","103.7313346","1.333829"
"5","103.7313758","1.3337101"
"5","103.731362","1.3335501"
"5","103.7315633","1.3335226"
"5","103.7318148","1.3332116"
"5","103.73192","1.332951"
"5","103.732359","1.3325897"
"5","103.7328301","1.3323381"
"5","103.7332752","1.3321402"
"5","103.7334521","1.332082"
"5","103.7337331","1.3320004"
"5","103.7339394","1.3317717"
"5","103.7341046","1.3314899"
"5","103.7341692","1.3312057"
"5","103.7342661","1.3311811"
"5","103.734257","1.3315881"
"5","103.7343484","1.3321598"
"5","103.7344207","1.3325739"
"5","103.7342956","1.3326925"
"5","103.7343022","1.3330547"
"5","103.7343878","1.3338186"
"5","103.7343632","1.3345081"
"5","103.7339899","1.3349359"
"5","103.7336737","1.3356916"
"5","103.733316","1.335337"
"6","103.7289577","1.3352292"
"6","103.7290327","1.3354273"
"6","103.7289804","1.3356626"
"6","103.729085","1.3360024"
"6","103.7294357","1.3362284"
"6","103.7296365","1.3367183"
"6","103.7301505","1.3369672"
"6","103.7307528","1.3370877"
"6","103.7311676","1.3369781"
"6","103.7315967","1.3366641"
"6","103.7322042","1.3363133"
"6","103.7326927","1.3358911"
"6","103.7330028","1.3357224"
"6","103.733316","1.335337"
"6","103.7332716","1.335185"
"6","103.7336285","1.3344712"
"6","103.7336732","1.3341087"
"6","103.7337512","1.3335844"
"6","103.7337331","1.3331547"
"6","103.7332416","1.3329873"
"6","103.7328148","1.3333331"
"6","103.7323799","1.3337379"
"6","103.7322494","1.3338701"
"6","103.7316463","1.3342535"
"6","103.7312877","1.3344792"
"6","103.7310803","1.3345337"
"6","103.7308664","1.3346448"
"6","103.7306827","1.334574"
"6","103.7303408","1.3345763"
"6","103.7302567","1.3346103"
"6","103.7300595","1.3345159"
"6","103.7298223","1.3344593"
"6","103.7297263","1.3343627"
"6","103.7296524","1.3343476"
"6","103.7294935","1.3343654"
"6","103.7290703","1.334704"
"6","103.7289577","1.3352292"
"7","103.7462762","1.3359928"
"7","103.7462345","1.3359395"
"7","103.7462162","1.3358611"
"7","103.7458989","1.3354364"
"7","103.7458903","1.3353615"
"7","103.7459159","1.3353206"
"7","103.7459687","1.3352899"
"7","103.7456314","1.3348658"
"7","103.7463167","1.3343562"
