obstacle,vertX,vertY
175,350.0253,137.3713
175,362.16956,145.94943
175,377.35916,152.28802
175,393.30392,154.49522
175,392.54895,168.98662
175,374.32648,165.99629
175,362.17807,161.22578
175,346.9882,153.4866
175,334.08054,142.42659
175,325.72852,128.43555
175,319.6581,114.1135
175,316.6172,102.88607
175,316.6172,91.45828
175,316.61716,81.31204
176,407.7301,152.53717
176,407.73425,165.92476
176,501.1244,168.02469
176,501.12082,154.62584
176,407.7301,152.53717
177,411.52957,116.94924
177,415.3228,132.38718
177,428.2305,129.1119
177,437.34494,125.29169
177,448.73383,121.138176
177,457.08566,115.35888
177,467.71527,106.18563
177,482.14172,121.62466
177,482.13895,134.19098
177,498.08374,134.26218
177,498.0863,117.22195
177,466.95337,85.31114
177,456.32358,94.89966
177,448.73083,100.880554
177,438.86307,107.70473
177,429.749,111.596344
177,420.64075,114.57579
177,411.52957,116.94924
178,351.54376,47.75242
178,364.45142,54.61147
178,379.63687,23.342178
178,393.3033,15.593085
178,462.3973,15.272679
178,462.39764,1.2697403
178,385.71103,1.8749309
178,370.52557,11.415942
178,351.54376,47.75242
179,319.6543,69.6706
179,328.76813,74.64339
179,339.39777,70.58483
179,391.02603,96.679665
179,391.02606,132.74318
179,405.45227,133.0399
179,403.9337,92.8111
179,395.58167,82.475
179,340.15463,56.52205
179,328.76553,59.144653
179,326.48773,62.087658
179,321.9321,63.143814
179,319.6543,69.6706
180,400.13947,75.80618
180,415.32275,82.38007
180,420.63962,70.72707
180,476.82394,67.6651
180,475.30542,52.190647
180,423.67477,54.35045
180,407.73004,63.2862
180,400.13947,75.80618
181,531.49225,28.919653
181,531.49164,45.568913
181,541.36224,45.47393
181,541.3628,28.800938
181,531.49225,28.919653
182,549.7142,48.80857
182,549.7155,60.901093
182,590.71625,60.90111
182,590.71497,48.808617
182,549.7142,48.80857
183,492.76825,16.281328
183,492.7687,57.827457
183,526.936,58.08851
183,541.36224,58.124115
183,541.3622,45.972332
183,526.936,45.96051
183,505.67633,45.794323
183,505.6769,27.57867
183,541.36273,27.875336
183,541.3618,16.672935
183,492.76825,16.281328
184,498.08362,97.73581
184,514.031,119.773315
184,514.0285,138.86655
184,586.9187,138.2732
